Time,pet
"Jan 1, 2010","1,009"
"Feb 1, 2010","1,144"
"Mar 1, 2010","1,764"
"Apr 1, 2010","2,164"
"May 1, 2010","2,705"
"Jun 1, 2010","2,040"
"Jul 1, 2010","1,216"
"Aug 1, 2010","1,033"
"Sep 1, 2010","1,227"
"Oct 1, 2010","1,403"
"Nov 1, 2010",926
"Dec 1, 2010",837
"Jan 1, 2011",989
"Feb 1, 2011","1,123"
"Mar 1, 2011","1,698"
"Apr 1, 2011","2,032"
"May 1, 2011","2,534"
"Jun 1, 2011","2,116"
"Jul 1, 2011","1,130"
"Aug 1, 2011","1,016"
"Sep 1, 2011","1,136"
"Oct 1, 2011","1,375"
"Nov 1, 2011","1,006"
"Dec 1, 2011",858
"Jan 1, 2012",971
"Feb 1, 2012","1,159"
"Mar 1, 2012","1,682"
"Apr 1, 2012","2,055"
"May 1, 2012","2,404"
"Jun 1, 2012","2,114"
"Jul 1, 2012","1,464"
"Aug 1, 2012","1,220"
"Sep 1, 2012","1,131"
"Oct 1, 2012","1,346"
"Nov 1, 2012",978
"Dec 1, 2012",873
"Jan 1, 2013","1,024"
"Feb 1, 2013","1,213"
"Mar 1, 2013","1,693"
"Apr 1, 2013","2,038"
"May 1, 2013","2,545"
"Jun 1, 2013","1,664"
"Jul 1, 2013","1,185"
"Aug 1, 2013","1,160"
"Sep 1, 2013","1,273"
"Oct 1, 2013","1,211"
"Nov 1, 2013",992
"Dec 1, 2013",845
"Jan 1, 2014","1,205"
"Feb 1, 2014","1,088"
"Mar 1, 2014","1,626"
"Apr 1, 2014","1,939"
"May 1, 2014","2,339"
"Jun 1, 2014","2,326"
"Jul 1, 2014","1,403"
"Aug 1, 2014","1,220"
"Sep 1, 2014","1,227"
"Oct 1, 2014","1,343"
"Nov 1, 2014",941
"Dec 1, 2014",925
"Jan 1, 2015",986
"Feb 1, 2015","1,153"
"Mar 1, 2015","1,588"
"Apr 1, 2015","1,996"
"May 1, 2015","2,459"
"Jun 1, 2015","1,815"
"Jul 1, 2015","1,532"
"Aug 1, 2015","1,334"
"Sep 1, 2015","1,368"
"Oct 1, 2015","1,399"
"Nov 1, 2015","1,003"
"Dec 1, 2015",902
"Jan 1, 2016",943
"Feb 1, 2016","1,162"
"Mar 1, 2016","1,747"
"Apr 1, 2016","2,093"
"May 1, 2016","2,638"
"Jun 1, 2016","2,132"
"Jul 1, 2016","1,241"
"Aug 1, 2016",987
"Sep 1, 2016","1,377"
"Oct 1, 2016","1,175"
"Nov 1, 2016",943
"Dec 1, 2016",872
"Jan 1, 2017",988
"Feb 1, 2017","1,178"
"Mar 1, 2017","1,744"
"Apr 1, 2017","2,239"
"May 1, 2017","2,556"
"Jun 1, 2017","1,841"
"Jul 1, 2017","1,017"
"Aug 1, 2017","1,229"
"Sep 1, 2017","1,341"
"Oct 1, 2017","1,419"
"Nov 1, 2017",981
"Dec 1, 2017",892
"Jan 1, 2018",892
"Feb 1, 2018","1,019"
"Mar 1, 2018","1,640"
"Apr 1, 2018","2,067"
"May 1, 2018","2,530"
"Jun 1, 2018","2,341"
"Jul 1, 2018","1,362"
"Aug 1, 2018","1,308"
"Sep 1, 2018","1,295"
"Oct 1, 2018","1,298"
"Nov 1, 2018",989
"Dec 1, 2018",917
"Jan 1, 2019","1,020"
"Feb 1, 2019","1,085"
"Mar 1, 2019","1,633"
"Apr 1, 2019","2,061"
"May 1, 2019","2,446"
"Jun 1, 2019","1,962"
"Jul 1, 2019","1,601"
"Aug 1, 2019","1,129"
"Sep 1, 2019",916
"Oct 1, 2019","1,363"
"Nov 1, 2019",906
"Dec 1, 2019",974
